Parameter,diet,estimate,std.error,df,lower,upper
chol,T1,2.4,0.498591767,8,1.250245324,3.549754676
chol,T2,1.475,0.498591767,8,0.325245324,2.624754676
chol,T3,1.725,0.498591767,8,0.575245324,2.874754676
chol,T4,2.425,0.498591767,8,1.275245324,3.574754676
ldl,T1,1.6,0.398238308,8,0.681660815,2.518339185
ldl,T2,1,0.398238308,8,0.081660815,1.918339185
ldl,T3,1.2,0.398238308,8,0.281660815,2.118339185
ldl,T4,1.775,0.398238308,8,0.856660815,2.693339185
trig,T1,1.475,0.285317805,8,0.817055961,2.132944039
trig,T2,0.725,0.285317805,8,0.067055961,1.382944039
trig,T3,0.85,0.285317805,8,0.192055961,1.507944039
trig,T4,1.125,0.285317805,8,0.467055961,1.782944039
non_hdl,T1,2.275,0.482991977,8,1.161218503,3.388781497
non_hdl,T2,1.35,0.482991977,8,0.236218503,2.463781497
non_hdl,T3,1.6,0.482991977,8,0.486218503,2.713781497
non_hdl,T4,2.3,0.482991977,8,1.186218503,3.413781497
