diet,estimate,std.error,df,statistic,p.value,outcome,emm_type
T1,5.46,0.22668811173063305,8,24.08595650789116,9.412211621633615e-9,rbc,diet_main
T2,5.702500000000001,0.22668811173063305,8,25.15570823923981,6.675474658699511e-9,rbc,diet_main
T3,5.82,0.22668811173063305,8,25.674041552367502,5.680690731002848e-9,rbc,diet_main
T4,5.8925,0.22668811173063308,8,25.99386423493565,5.150471048167804e-9,rbc,diet_main
T1,24.92499999999999,0.5326818938165646,8,46.79152847005386,4.810361263624005e-11,mch,diet_main
T2,25.824999999999992,0.5326818938165646,8,48.481092186124016,3.625152429517735e-11,mch,diet_main
T3,24.924999999999994,0.5326818938165647,8,46.791528470053855,4.810361263624005e-11,mch,diet_main
T4,26.574999999999992,0.5326818938165646,8,49.889061949515806,2.885080231468032e-11,mch,diet_main
T1,29.400000000000002,0.4031128874149276,8,72.93242393845455,1.3915638208878608e-12,mchc,diet_main
T2,29.075000000000003,0.4031128874149277,8,72.1261981636247,1.520796839610104e-12,mchc,diet_main
T3,29.3,0.4031128874149278,8,72.6843544692761,1.4299628510849887e-12,mchc,diet_main
T4,28.275000000000002,0.4031128874149277,8,70.14164241019735,1.9005106882461855e-12,mchc,diet_main
T1,84.8,2.1041996697081746,8,40.30035800345918,1.5814816940795422e-10,mcv,diet_main
T2,88.89999999999998,2.1041996697081746,8,42.248842293720756,1.0856945859371034e-10,mcv,diet_main
T3,85.19999999999999,2.1041996697081746,8,40.49045403177738,1.523302045119548e-10,mcv,diet_main
T4,94.07499999999999,2.104199669708174,8,44.70820966008753,6.916311622501032e-11,mcv,diet_main
T1,19.425,1.6222091418802935,8,11.974411620862025,2.179023694181545e-6,rdw,diet_main
T2,14.275000000000006,1.622209141880293,8,8.799728488432716,2.1858595031489897e-5,rdw,diet_main
T3,18.750000000000007,1.6222091418802942,8,11.558312375349445,2.8516104612327974e-6,rdw,diet_main
T4,14.900000000000007,1.6222091418802935,8,9.18500556761103,1.595258514460277e-5,rdw,diet_main
T1,13.600000000000001,0.7036733972518782,8,19.32714815298313,5.330146852610756e-8,haemo,diet_main
T2,14.725000000000001,0.7036733972518783,8,20.92590121710857,2.853874377102796e-8,haemo,diet_main
T3,14.525,0.7036733972518784,8,20.64167845015293,3.178120089912365e-8,haemo,diet_main
T4,15.675,0.7036733972518783,8,22.27595936014783,1.7438871351474105e-8,haemo,diet_main
T1,0.465,0.027041634565979918,8,17.195706082982106,1.3307946570080977e-7,hct,diet_main
T2,0.51,0.02704163456597992,8,18.85980667165779,6.458608435867853e-8,hct,diet_main
T3,0.49500000000000005,0.027041634565979925,8,18.30510647543256,8.161002659531347e-8,hct,diet_main
T4,0.555,0.027041634565979914,8,20.523907260333484,3.324438615888979e-8,hct,diet_main
