term,contrast,null.value,estimate,std.error,df,statistic,adj.p.value,outcome,contrast_type
diet,T1 - T2,0,-0.24249999999999988,0.3205854020382086,8,-0.7564287034226773,0.8715458470075961,rbc,tukey_diet_main
diet,T1 - T3,0,-0.35999999999999993,0.3205854020382088,8,-1.1229457040501598,0.6867153192877954,rbc,tukey_diet_main
diet,T1 - T4,0,-0.4325,0.3205854020382088,8,-1.349094491671373,0.5606135798729379,rbc,tukey_diet_main
diet,T2 - T3,0,-0.11750000000000005,0.32058540203820873,8,-0.36651700062748305,0.9819877898299372,rbc,tukey_diet_main
diet,T2 - T4,0,-0.1900000000000001,0.32058540203820873,8,-0.5926657882486961,0.9315051476702014,rbc,tukey_diet_main
diet,T3 - T4,0,-0.07250000000000008,0.32058540203820873,8,-0.22614878762121307,0.995587180327522,rbc,tukey_diet_main
diet,T1 - T2,0,-0.9000000000000045,0.7533259586659703,8,-1.194701960879952,0.6466060279547778,mch,tukey_diet_main
diet,T1 - T3,0,-5.440092820663267e-15,0.7533259586659705,8,-7.22143284468369e-15,1,mch,tukey_diet_main
diet,T1 - T4,0,-1.6500000000000046,0.7533259586659705,8,-2.1902869282799067,0.20544392967618585,mch,tukey_diet_main
diet,T2 - T3,0,0.899999999999999,0.7533259586659706,8,1.1947019608799443,0.6466060279547821,mch,tukey_diet_main
diet,T2 - T4,0,-0.7500000000000001,0.7533259586659706,8,-0.9955849673999548,0.7561877354308679,mch,tukey_diet_main
diet,T3 - T4,0,-1.649999999999999,0.7533259586659705,8,-2.1902869282798996,0.20544392967618785,mch,tukey_diet_main
diet,T1 - T2,0,0.32499999999999907,0.570087712549569,8,0.5700877125495674,0.9382674674591523,mchc,tukey_diet_main
diet,T1 - T3,0,0.09999999999999964,0.5700877125495692,8,0.17541160386140514,0.9979192057382544,mchc,tukey_diet_main
diet,T1 - T4,0,1.124999999999999,0.5700877125495692,8,1.973380543440813,0.27326897732373867,mchc,tukey_diet_main
diet,T2 - T3,0,-0.22499999999999942,0.5700877125495692,8,-0.39467610868816194,0.977748503657728,mchc,tukey_diet_main
diet,T2 - T4,0,0.7999999999999997,0.5700877125495694,8,1.4032928308912453,0.5311159307172093,mchc,tukey_diet_main
diet,T3 - T4,0,1.0249999999999992,0.5700877125495692,8,1.7979689395794078,0.34053141676472987,mchc,tukey_diet_main
diet,T1 - T2,0,-4.099999999999991,2.9757877108422863,8,-1.3777864546794234,0.5449312947111342,mcv,tukey_diet_main
diet,T1 - T3,0,-0.39999999999999325,2.975787710842287,8,-0.13441819070042954,0.9990575529384391,mcv,tukey_diet_main
diet,T1 - T4,0,-9.274999999999988,2.975787710842287,8,-3.1168217968662586,0.05640211971108655,mcv,tukey_diet_main
diet,T2 - T3,0,3.699999999999998,2.975787710842287,8,1.2433682639789936,0.619331246685898,mcv,tukey_diet_main
diet,T2 - T4,0,-5.174999999999997,2.975787710842288,8,-1.7390353421868352,0.36568503227781124,mcv,tukey_diet_main
diet,T3 - T4,0,-8.874999999999996,2.975787710842287,8,-2.9824036061658297,0.06818833658128265,mcv,tukey_diet_main
diet,T1 - T2,0,5.149999999999995,2.29415016945273,8,2.244839971059317,0.1908788633548908,rdw,tukey_diet_main
diet,T1 - T3,0,0.6749999999999954,2.2941501694527315,8,0.2942265981485494,0.9904551935646211,rdw,tukey_diet_main
diet,T1 - T4,0,4.524999999999995,2.2941501694527315,8,1.9724079357365834,0.2736106109284022,rdw,tukey_diet_main
diet,T2 - T3,0,-4.475,2.2941501694527306,8,-1.9506133729107675,0.28135680656576934,rdw,tukey_diet_main
diet,T2 - T4,0,-0.6250000000000002,2.2941501694527315,8,-0.2724320353227329,0.9923754836962927,rdw,tukey_diet_main
diet,T3 - T4,0,3.8499999999999996,2.2941501694527315,8,1.678181337588034,0.3929782712789368,rdw,tukey_diet_main
diet,T1 - T2,0,-1.1249999999999996,0.9951444618747564,8,-1.1304891330858717,0.6825165603693806,haemo,tukey_diet_main
diet,T1 - T3,0,-0.924999999999999,0.9951444618747567,8,-0.929513287203938,0.790556842974915,haemo,tukey_diet_main
diet,T1 - T4,0,-2.0749999999999993,0.9951444618747567,8,-2.0851244010250514,0.23628499680910053,haemo,tukey_diet_main
diet,T2 - T3,0,0.2000000000000005,0.9951444618747566,8,0.2009758458819333,0.9968857879495259,haemo,tukey_diet_main
diet,T2 - T4,0,-0.9499999999999998,0.9951444618747567,8,-0.9546352679391804,0.7776655643419165,haemo,tukey_diet_main
diet,T3 - T4,0,-1.1500000000000004,0.9951444618747568,8,-1.1556111138211136,0.6684961728784545,haemo,tukey_diet_main
diet,T1 - T2,0,-0.04499999999999997,0.038242646351945866,8,-1.176696810829104,0.656695911544263,hct,tukey_diet_main
diet,T1 - T3,0,-0.03000000000000003,0.03824264635194589,8,-0.7844645405527368,0.8595107039196545,hct,tukey_diet_main
diet,T1 - T4,0,-0.09000000000000001,0.03824264635194589,8,-2.3533936216582085,0.1646206327526326,hct,tukey_diet_main
diet,T2 - T3,0,0.014999999999999944,0.03824264635194587,8,0.39223227027636676,0.9781383574491223,hct,tukey_diet_main
diet,T2 - T4,0,-0.04500000000000004,0.03824264635194587,8,-1.1766968108291056,0.6566959115442621,hct,tukey_diet_main
diet,T3 - T4,0,-0.059999999999999984,0.03824264635194589,8,-1.5689290811054717,0.44517967501037004,hct,tukey_diet_main
