Parameter,diet,estimate,std.error,df,lower,upper
wbc,T1,8.605000000000006,1.5982573517741128,8,4.919411937688442,12.29058806231157
wbc,T2,9.072500000000005,1.5982573517741139,8,5.3869119376884385,12.758088062311572
wbc,T3,8.927500000000004,1.5982573517741134,8,5.241911937688439,12.613088062311569
wbc,T4,7.182500000000003,1.598257351774113,8,3.4969119376884383,10.868088062311568
basophils_abs,T1,0.11500000000000006,0.04658661288396056,8,0.007571078044431329,0.2224289219555688
basophils_abs,T2,0.14500000000000002,0.04658661288396057,8,0.03757107804443126,0.25242892195556876
basophils_abs,T3,0.09000000000000002,0.04658661288396057,8,-0.017428921955568735,0.19742892195556877
basophils_abs,T4,0.08250000000000005,0.04658661288396056,8,-0.024928921955568686,0.18992892195556876
eosinophils_abs,T1,0.5050000000000002,0.247389495532854,8,-0.06548119970483368,1.0754811997048341
eosinophils_abs,T2,0.6050000000000001,0.24738949553285403,8,0.034518800295166074,1.175481199704834
eosinophils_abs,T3,0.2625,0.24738949553285403,8,-0.307981199704834,0.832981199704834
eosinophils_abs,T4,0.13,0.24738949553285403,8,-0.440481199704834,0.700481199704834
lymphocytes_abs,T1,5.5699999999999985,1.3612924694936057,8,2.430853936125452,8.709146063874545
lymphocytes_abs,T2,5.674999999999999,1.361292469493606,8,2.535853936125452,8.814146063874546
lymphocytes_abs,T3,6.244999999999998,1.361292469493606,8,3.1058539361254516,9.384146063874546
lymphocytes_abs,T4,4.912499999999998,1.361292469493606,8,1.7733539361254511,8.051646063874545
monocytes_abs,T1,0.5000000000000002,0.10726718976462471,8,0.25264141683104563,0.7473585831689549
monocytes_abs,T2,0.6650000000000003,0.10726718976462471,8,0.41764141683104566,0.9123585831689549
monocytes_abs,T3,0.43000000000000016,0.10726718976462474,8,0.1826414168310455,0.6773585831689548
monocytes_abs,T4,0.3550000000000001,0.10726718976462471,8,0.1076414168310455,0.6023585831689546
neutrophils_abs,T1,1.9150000000000005,0.351107622389489,8,1.1053443708681359,2.724655629131865
neutrophils_abs,T2,1.9825000000000004,0.35110762238948906,8,1.1728443708681358,2.792155629131865
neutrophils_abs,T3,1.8975,0.35110762238948906,8,1.0878443708681353,2.7071556291318646
neutrophils_abs,T4,1.7025000000000001,0.351107622389489,8,0.8928443708681356,2.5121556291318647
platelets,T1,391.99999999999994,51.13982059022107,8,274.071362245351,509.9286377546489
platelets,T2,391.75000000000006,51.13982059022109,8,273.82136224535105,509.67863775464906
platelets,T3,399.25,51.13982059022109,8,281.321362245351,517.178637754649
platelets,T4,365.5,51.13982059022107,8,247.57136224535105,483.42863775464895
basophils,T1,1.5749999999999997,0.47811478747263186,8,0.47246532298584953,2.67753467701415
basophils,T2,1.4499999999999995,0.47811478747263186,8,0.3474653229858493,2.5525346770141497
basophils,T3,0.9499999999999994,0.4781147874726319,8,-0.1525346770141508,2.0525346770141497
basophils,T4,1.1500000000000001,0.47811478747263186,8,0.047465322985849934,2.2525346770141503
eosinophils,T1,7.074999999999999,3.3921785035578536,8,-0.7473776565550914,14.89737765655509
eosinophils,T2,8.049999999999997,3.3921785035578544,8,0.22762234344490384,15.872377656555091
eosinophils,T3,3.025,3.3921785035578544,8,-4.797377656555094,10.847377656555093
eosinophils,T4,2.3000000000000003,3.3921785035578536,8,-5.52237765655509,10.122377656555091
lymphocytes,T1,66.07499999999999,4.414004700949015,8,55.89628690680093,76.25371309319905
lymphocytes,T2,59.325,4.414004700949015,8,49.146286906800945,69.50371309319905
lymphocytes,T3,68.4,4.414004700949014,8,58.22128690680095,78.57871309319906
lymphocytes,T4,69.35,4.414004700949015,8,59.17128690680094,79.52871309319906
monocytes,T1,5.25,0.6923691212063111,8,3.653393943410572,6.846606056589428
monocytes,T2,7.624999999999999,0.6923691212063113,8,6.0283939434105704,9.221606056589428
monocytes,T3,4.999999999999999,0.6923691212063111,8,3.4033939434105713,6.596606056589427
monocytes,T4,4.974999999999999,0.6923691212063112,8,3.3783939434105705,6.571606056589427
neutrophils,T1,20.02499999999999,3.523692133260224,8,11.899351369515525,28.150648630484458
neutrophils,T2,23.549999999999994,3.5236921332602247,8,15.424351369515525,31.67564863048446
neutrophils,T3,22.624999999999993,3.523692133260223,8,14.499351369515528,30.750648630484456
neutrophils,T4,22.224999999999994,3.523692133260224,8,14.099351369515528,30.35064863048446
