diet,sex,emmean,SE,df,lower.CL,upper.CL,letter,organ,model
T2,F,7,4.3874821936960595,8,-7.01021683857698,21.01021683857698,a,Heart,ART (nonparametric factorial ANOVA)
T4,F,8.5,4.3874821936960595,8,-5.51021683857698,22.51021683857698,a,Heart,ART (nonparametric factorial ANOVA)
T1,F,8.500000000000002,4.38748219369606,8,-5.510216838576982,22.510216838576987,a,Heart,ART (nonparametric factorial ANOVA)
T3,F,9.5,4.3874821936960595,8,-4.51021683857698,23.51021683857698,a,Heart,ART (nonparametric factorial ANOVA)
T1,M,5.999999999999999,4.38748219369606,8,-8.010216838576984,20.010216838576984,a,Heart,ART (nonparametric factorial ANOVA)
T4,M,8.5,4.3874821936960595,8,-5.51021683857698,22.51021683857698,a,Heart,ART (nonparametric factorial ANOVA)
T3,M,9,4.3874821936960595,8,-5.01021683857698,23.01021683857698,a,Heart,ART (nonparametric factorial ANOVA)
T2,M,10.999999999999998,4.3874821936960595,8,-3.010216838576982,25.01021683857698,a,Heart,ART (nonparametric factorial ANOVA)
T3,F,3.4999999999999987,3.8890872965260117,8,-8.918729905450443,15.918729905450439,a,Intestines,ART (nonparametric factorial ANOVA)
T4,F,8.000000000000002,3.8890872965260117,8,-4.418729905450439,20.41872990545044,a,Intestines,ART (nonparametric factorial ANOVA)
T2,F,8.999999999999998,3.8890872965260117,8,-3.4187299054504425,21.41872990545044,a,Intestines,ART (nonparametric factorial ANOVA)
T1,F,10.500000000000004,3.8890872965260126,8,-1.9187299054504408,22.918729905450448,a,Intestines,ART (nonparametric factorial ANOVA)
T1,M,5.999999999999998,3.889087296526012,8,-6.418729905450444,18.41872990545044,a,Intestines,ART (nonparametric factorial ANOVA)
T4,M,9.000000000000002,3.8890872965260117,8,-3.418729905450439,21.41872990545044,a,Intestines,ART (nonparametric factorial ANOVA)
T2,M,10.499999999999998,3.8890872965260113,8,-1.9187299054504408,22.918729905450437,a,Intestines,ART (nonparametric factorial ANOVA)
T3,M,11.5,3.8890872965260117,8,-0.9187299054504408,23.91872990545044,a,Intestines,ART (nonparametric factorial ANOVA)
