attribute,diet,EMM,SE,CI_low,CI_high,Diet_p,Diet_p_FDR
Colour,1,-0.450866609,0.31339824,-1.065115871,0.163382654,0.994819028,0.999630881
Colour,2,-0.447401823,0.312248184,-1.059397017,0.164593372,0.994819028,0.999630881
Colour,3,-0.508219311,0.316199282,-1.127958516,0.111519895,0.994819028,0.999630881
Colour,4,-0.388736623,0.313077177,-1.002356615,0.224883368,0.994819028,0.999630881
Flavour,1,-0.446168174,0.330593049,-1.094118644,0.201782295,0.970290579,0.999630881
Flavour,2,-0.305450102,0.325536646,-0.943490204,0.332589999,0.970290579,0.999630881
Flavour,3,-0.305450102,0.325536646,-0.943490204,0.332589999,0.970290579,0.999630881
Flavour,4,-0.465823087,0.31960423,-1.092235867,0.160589692,0.970290579,0.999630881
Juiciness,1,0.534079816,0.343267318,-0.138711764,1.206871397,0.254225579,0.999630881
Juiciness,2,-0.114687365,0.336814275,-0.774831214,0.545456485,0.254225579,0.999630881
Juiciness,3,-0.243352996,0.336861197,-0.90358881,0.416882819,0.254225579,0.999630881
Juiciness,4,-0.199649693,0.330225103,-0.846879002,0.447579616,0.254225579,0.999630881
Overall Quality,1,0.406868685,0.354296801,-0.287540285,1.101277655,0.999630881,0.999630881
Overall Quality,2,0.474188829,0.326310797,-0.165368581,1.113746239,0.999630881,0.999630881
Overall Quality,3,0.439115217,0.325262108,-0.198386801,1.076617235,0.999630881,0.999630881
Overall Quality,4,0.465032949,0.324756025,-0.171477163,1.10154306,0.999630881,0.999630881
Taste,1,1.058505058,0.450777056,0.174998263,1.942011852,0.735331644,0.999630881
Taste,2,0.578920884,0.426813685,-0.257618565,1.415460334,0.735331644,0.999630881
Taste,3,0.578920884,0.426813685,-0.257618565,1.415460334,0.735331644,0.999630881
Taste,4,0.640258862,0.424051872,-0.190867535,1.471385258,0.735331644,0.999630881
Tenderness,1,0.953888944,0.363008197,0.242405952,1.665371936,0.896073151,0.999630881
Tenderness,2,1.190689802,0.371413899,0.462731936,1.918647668,0.896073151,0.999630881
Tenderness,3,1.190689802,0.371413899,0.462731936,1.918647668,0.896073151,0.999630881
Tenderness,4,1.271078478,0.365720241,0.554279977,1.98787698,0.896073151,0.999630881
