attribute,diet,EMM,SE,CI_low,CI_high,Diet_p,Diet_p_FDR
Colour,1,-0.4508666086182468,0.31339823969478564,-1.0651158712382776,0.1633826540017841,0.9948190275689591,0.9996308813145457
Colour,2,-0.4474018225722323,0.3122481838512945,-1.0593970171588107,0.16459337201434604,0.9948190275689591,0.9996308813145457
Colour,3,-0.5082193109361485,0.3161992824513987,-1.127958516478298,0.11151989460600087,0.9948190275689591,0.9996308813145457
Colour,4,-0.3887366232255625,0.31307717715730243,-1.0023566148353413,0.22488336838421624,0.9948190275689591,0.9996308813145457
Flavour,1,-0.44616817449844226,0.33059304897825653,-1.094118644035111,0.20178229503822653,0.9702905789722096,0.9996308813145457
Flavour,2,-0.30545010232189573,0.32553664592060844,-0.943490203974256,0.3325899993304645,0.9702905789722096,0.9996308813145457
Flavour,3,-0.30545010232189573,0.32553664592060855,-0.9434902039742562,0.33258999933046474,0.9702905789722096,0.9996308813145457
Flavour,4,-0.46582308746942575,0.31960422971615804,-1.0922358670197614,0.16058969208090995,0.9702905789722096,0.9996308813145457
Juiciness,1,0.5340798162986781,0.34326731819092704,-0.13871176442518973,1.206871397022546,0.25422557856182193,0.9996308813145457
Juiciness,2,-0.11468736468154253,0.3368142754876619,-0.7748312141163116,0.5454564847532266,0.25422557856182193,0.9996308813145457
Juiciness,3,-0.24335299553476822,0.33686119744157056,-0.9035888103092825,0.4168828192397461,0.25422557856182193,0.9996308813145457
Juiciness,4,-0.1996496930093176,0.3302251030307336,-0.846879001740584,0.4475796157219488,0.25422557856182193,0.9996308813145457
Overall Quality,1,0.40686868504847284,0.3542968010669488,-0.28754028488049876,1.1012776549774443,0.9996308813145457,0.9996308813145457
Overall Quality,2,0.47418882895300796,0.32631079710102934,-0.1653685811315665,1.1137462390375825,0.9996308813145457,0.9996308813145457
Overall Quality,3,0.43911521692300937,0.3252621084725849,-0.19838680121881724,1.076617235064836,0.9996308813145457,0.9996308813145457
Overall Quality,4,0.4650329485288926,0.3247560245009506,-0.17147716325537782,1.101543060313163,0.9996308813145457,0.9996308813145457
Taste,1,1.05850505768218,0.45077705581423594,0.17499826322927592,1.942011852135084,0.7353316443999554,0.9996308813145457
Taste,2,0.5789208844459751,0.42681368459022695,-0.25761856545970774,1.4154603343516579,0.7353316443999554,0.9996308813145457
Taste,3,0.5789208844459751,0.42681368459022695,-0.25761856545970774,1.4154603343516579,0.7353316443999554,0.9996308813145457
Taste,4,0.6402588615594942,0.4240518717228325,-0.19086753459405625,1.4713852577130446,0.7353316443999554,0.9996308813145457
Tenderness,1,0.9538889441144116,0.3630081968621724,0.242405952171728,1.6653719360570953,0.8960731512986163,0.9996308813145457
Tenderness,2,1.1906898015923795,0.37141389926393925,0.46273193567747106,1.9186476675072879,0.8960731512986163,0.9996308813145457
Tenderness,3,1.1906898015923795,0.37141389926393925,0.46273193567747106,1.9186476675072879,0.8960731512986163,0.9996308813145457
Tenderness,4,1.2710784784235238,0.365720241290121,0.5542799770775885,1.9878769797694593,0.8960731512986163,0.9996308813145457
