contrast,estimate,SE,df,z.ratio,p.value,attribute
diet3 - diet4,-0.119482688,0.441026589,Inf,-0.270919466,0.993051235,Colour
diet1 - diet4,-0.062129985,0.43906788,Inf,-0.141504283,0.998989921,Colour
diet2 - diet3,0.060817488,0.439743911,Inf,0.138302059,0.999056638,Colour
diet2 - diet4,-0.058665199,0.438081833,Inf,-0.133913792,0.999143233,Colour
diet1 - diet3,0.057352702,0.440342359,Inf,0.130245708,0.99921144,Colour
diet1 - diet2,-0.003464786,0.437709787,Inf,-0.007915715,0.999999822,Colour
diet2 - diet4,0.160372985,0.42934636,Inf,0.373528228,0.98223029,Flavour
diet3 - diet4,0.160372985,0.42934636,Inf,0.373528228,0.98223029,Flavour
diet1 - diet2,-0.140718072,0.439308537,Inf,-0.320317181,0.988639303,Flavour
diet1 - diet3,-0.140718072,0.439308537,Inf,-0.320317181,0.988639303,Flavour
diet1 - diet4,0.019654913,0.434178072,Inf,0.045269244,0.999966705,Flavour
diet2 - diet3,0,0.433511185,Inf,0,1,Flavour
diet1 - diet3,0.777432812,0.439620236,Inf,1.768419078,0.288640347,Juiciness
diet1 - diet4,0.733729509,0.433523251,Inf,1.692480178,0.327591828,Juiciness
diet1 - diet2,0.648767181,0.43867414,Inf,1.478927343,0.450274931,Juiciness
diet2 - diet3,0.128665631,0.431528173,Inf,0.29816276,0.990790442,Juiciness
diet2 - diet4,0.084962328,0.425374635,Inf,0.199735295,0.99718043,Juiciness
diet3 - diet4,-0.043703303,0.424879494,Inf,-0.102860465,0.999610661,Juiciness
diet1 - diet2,-0.067320144,0.477144583,Inf,-0.141089612,0.998998731,Overall Quality
diet1 - diet4,-0.058164263,0.476545908,Inf,-0.122053852,0.999350566,Overall Quality
diet2 - diet3,0.035073612,0.451450539,Inf,0.07769093,0.999831952,Overall Quality
diet1 - diet3,-0.032246532,0.476672576,Inf,-0.067649228,0.999888993,Overall Quality
diet3 - diet4,-0.025917732,0.452168897,Inf,-0.057318696,0.999932445,Overall Quality
diet2 - diet4,0.00915588,0.452491947,Inf,0.02023435,0.999997025,Overall Quality
diet1 - diet2,0.479584173,0.479999049,Inf,0.999135674,0.749888641,Taste
diet1 - diet3,0.479584173,0.479999049,Inf,0.999135674,0.749888641,Taste
diet1 - diet4,0.418246196,0.474756423,Inf,0.880970064,0.814756872,Taste
diet2 - diet4,-0.061337977,0.448615583,Inf,-0.136727255,0.99908835,Taste
diet3 - diet4,-0.061337977,0.448615583,Inf,-0.136727255,0.99908835,Taste
diet2 - diet3,0,0.453983306,Inf,0,1,Taste
diet1 - diet4,-0.317189534,0.432114678,Inf,-0.734040175,0.883421702,Tenderness
diet1 - diet2,-0.236800857,0.437393497,Inf,-0.541390897,0.94887108,Tenderness
diet1 - diet3,-0.236800857,0.437393497,Inf,-0.541390897,0.94887108,Tenderness
diet2 - diet4,-0.080388677,0.436344514,Inf,-0.184232125,0.997782411,Tenderness
diet3 - diet4,-0.080388677,0.436344514,Inf,-0.184232125,0.997782411,Tenderness
diet2 - diet3,2.78E-17,0.441090477,Inf,6.29E-17,1,Tenderness
