"outcome","diet","n","mean","sd"
"cbr","T1",10,19.0104096055766,0.718996545200833
"cbr","T2",10,19.4677533965045,0.689035635002957
"cbr","T3",10,19.7248455188854,1.58128905782265
"cbr","T4",10,19.6382764922524,0.979208194353659
"feed_consumed_kg","T1",10,0.191394,0.0117677196884811
"feed_consumed_kg","T2",10,0.195706,0.0115913274093656
"feed_consumed_kg","T3",10,0.198751,0.0134975236000288
"feed_consumed_kg","T4",10,0.198443,0.0138629242145291
"feed_cost_kg","T1",10,0.110198776153846,0.00677549091294472
"feed_cost_kg","T2",10,0.114382629846154,0.00677468505048924
"feed_cost_kg","T3",10,0.117507706615385,0.00798015126075546
"feed_cost_kg","T4",10,0.116653954307692,0.00814926668057166
"gpm","T1",10,2.09348968538462,0.12734827524272
"gpm","T2",10,2.23010198553846,0.197230962022447
"gpm","T3",10,2.31194998569231,0.170615936024572
"gpm","T4",10,2.29555758415385,0.24743847614744
"roi","T1",10,198.329090923077,12.1975673706054
"roi","T2",10,211.571935569231,19.0684072460525
"roi","T3",10,219.444227907692,16.6876320350049
"roi","T4",10,217.890362984615,23.9850585986788
"sales_kg","T1",10,2.20368846153846,0.132849222778185
"sales_kg","T2",10,2.34448461538462,0.20379274272048
"sales_kg","T3",10,2.42945769230769,0.17464035783804
"sales_kg","T4",10,2.41221153846154,0.255061005355565
